Year,Month,Date,Hours,Minutes,Name,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Damage
1980,1,1,16,42,"AZORES: TERCEIRA, ANGRA DO HEROISMO",38.727,-27.75,13,6.9,69,600,5
1980,1,24,19,0,CALIFORNIA: LIVERMORE,37.855,-121.816,11,5.9,41,50,11.5
1980,5,18,20,2,BALKANS NW: SERBIA,43.294,20.837,9,5.8,4,30,5
1980,5,25,16,33,CALIFORNIA: MAMMOTH LAKES,37.6,-118.84,7,6.1,0,7,2
1980,6,9,3,28,MEXICO: NW,32.22,-114.985,5,6.4,1,100,
1980,6,29,7,20,JAPAN: HONSHU: S COAST,34.808,139.181,15,6.2,0,7,
1980,8,18,15,7,"ECUADOR: W, GUAYAQUIL",-1.948,-80.017,55,5.6,8,100,5
1980,8,23,21,36,INDIA: KASHMIR,32.913,75.633,25,4.9,15,40,
1980,9,24,17,54,"JAPAN: TOKYO, YOKOHAMA",35.45,139.964,73,6,2,73,1
1980,10,10,12,25,ALGERIA: NORTHERN,36.195,1.354,10,7.7,5000,9000,5200
1980,11,23,18,34,"ITALY: AVELLINO, POTENZA, CASERTA, NAPLES",40.914,15.366,20,6.9,4689,7700,20000
1980,12,22,12,51,"IRAN: N CENTRAL, TEHRAN",34.503,50.59,41,5.2,3,139,1
1981,1,23,21,13,CHINA: SICHUAN PROVINCE,30.927,101.098,33,6.8,150,489,5
1981,2,24,20,53,GREECE: ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,33,6.7,22,400,812
1981,3,4,21,58,GREECE: ATHENS-CORINTH-KHALIS,38.209,23.288,29,6.4,1,9,
1981,4,18,0,32,PERU: AYACUCHO,-13.144,-74.376,38,4.8,8,15,
1981,7,28,17,22,"IRAN: SE, KERMAN",30.013,57.794,33,7.1,3000,1000,1000
1981,9,12,7,15,PAKISTAN: GILGIT,35.693,73.594,33,5.9,220,2500,5
1981,12,12,20,26,PAKISTAN: CENTRAL,29.856,66.962,33,4,6,12,
1982,3,28,4,16,MEXICO: CHIAPAS,17.25,-93.21,9,3.5,10,200,
1982,6,15,23,24,CHINA: SICHUAN PROVINCE: GARZE,31.907,99.931,10,5.5,10,5,
